iteration,residual,time_seconds
483,2.694467545660e-01,0.021997
484,2.664947536642e-01,0.022039
485,2.635744825523e-01,0.022081
486,2.606856103807e-01,0.022120
487,2.578278095861e-01,0.022153
488,2.550007558611e-01,0.022185
489,2.522041281244e-01,0.022217
490,2.494376084911e-01,0.022250
491,2.467008822436e-01,0.022282
492,2.439936378021e-01,0.022314
493,2.413155666959e-01,0.022346
494,2.386663635349e-01,0.022379
495,2.360457259806e-01,0.022411
496,2.334533547185e-01,0.022443
497,2.308889534295e-01,0.022475
498,2.283522287627e-01,0.022508
499,2.258428903075e-01,0.022613
500,2.233606505663e-01,0.022647
501,2.209052249275e-01,0.022689
502,2.184763316385e-01,0.022733
503,2.160736917790e-01,0.022775
504,2.136970292348e-01,0.022815
505,2.113460706712e-01,0.022854
506,2.090205455073e-01,0.022893
507,2.067201858899e-01,0.022932
508,2.044447266682e-01,0.022972
509,2.021939053681e-01,0.023015
510,1.999674621672e-01,0.023057
511,1.977651398699e-01,0.023100
512,1.955866838824e-01,0.023142
513,1.934318421884e-01,0.023183
514,1.913003653246e-01,0.023223
515,1.891920063565e-01,0.023264
516,1.871065208545e-01,0.023305
517,1.850436668703e-01,0.023343
518,1.830032049132e-01,0.023375
519,1.809848979267e-01,0.023408
520,1.789885112653e-01,0.023440
521,1.770138126720e-01,0.023472
522,1.750605722549e-01,0.023514
523,1.731285624650e-01,0.023547
524,1.712175580737e-01,0.023579
525,1.693273361509e-01,0.023612
526,1.674576760423e-01,0.023644
527,1.656083593485e-01,0.023676
528,1.637791699026e-01,0.023708
529,1.619698937492e-01,0.023741
530,1.601803191230e-01,0.023773
531,1.584102364277e-01,0.023805
532,1.566594382153e-01,0.023837
533,1.549277191649e-01,0.023870
534,1.532148760630e-01,0.023927
535,1.515207077822e-01,0.023959
536,1.498450152618e-01,0.023992
537,1.481876014874e-01,0.024024
538,1.465482714710e-01,0.024056
539,1.449268322316e-01,0.024089
540,1.433230927758e-01,0.024121
541,1.417368640780e-01,0.024153
542,1.401679590618e-01,0.024190
543,1.386161925806e-01,0.024426
544,1.370813813992e-01,0.024459
545,1.355633441749e-01,0.024492
546,1.340619014389e-01,0.024524
547,1.325768755784e-01,0.024557
548,1.311080908180e-01,0.024589
549,1.296553732022e-01,0.024621
550,1.282185505770e-01,0.024654
551,1.267974525727e-01,0.024686
552,1.253919105861e-01,0.024718
553,1.240017577636e-01,0.024751
554,1.226268289831e-01,0.024783
555,1.212669608381e-01,0.024816
556,1.199219916198e-01,0.024848
557,1.185917613011e-01,0.024880
558,1.172761115193e-01,0.024912
559,1.159748855606e-01,0.024945
560,1.146879283427e-01,0.024977
561,1.134150863996e-01,0.025009
562,1.121562078652e-01,0.025042
563,1.109111424572e-01,0.025074
564,1.096797414620e-01,0.025109
565,1.084618577185e-01,0.025141
566,1.072573456032e-01,0.025174
567,1.060660610145e-01,0.025206
568,1.048878613579e-01,0.025238
569,1.037226055307e-01,0.025281
570,1.025701539075e-01,0.025314
571,1.014303683248e-01,0.025346
572,1.003031120674e-01,0.025378
573,9.918824985285e-02,0.025410
574,9.808564781804e-02,0.025442
575,9.699517350442e-02,0.025474
576,9.591669584417e-02,0.025506
577,9.485008514624e-02,0.025538
578,9.379521308249e-02,0.025571
579,9.275195267408e-02,0.025617
580,9.172017827786e-02,0.025650
581,9.069976557299e-02,0.025682
582,8.969059154762e-02,0.025715
583,8.869253448568e-02,0.025747
584,8.770547395390e-02,0.025779
585,8.672929078881e-02,0.025811
586,8.576386708397e-02,0.025844
587,8.480908617725e-02,0.025876
588,8.386483263828e-02,0.025908
589,8.293099225600e-02,0.025941
590,8.200745202630e-02,0.025973
591,8.109410013982e-02,0.026005
592,8.019082596981e-02,0.026037
593,7.929752006020e-02,0.026069
594,7.841407411367e-02,0.026102
595,7.754038097990e-02,0.026134
596,7.667633464390e-02,0.026166
597,7.582183021452e-02,0.026223
598,7.497676391294e-02,0.026255
599,7.414103306139e-02,0.026288
600,7.331453607194e-02,0.026320
601,7.249717243534e-02,0.026352
602,7.168884271008e-02,0.026384
603,7.088944851143e-02,0.026416
604,7.009889250066e-02,0.026448
605,6.931707837441e-02,0.026480
606,6.854391085397e-02,0.026512
607,6.777929567491e-02,0.026544
608,6.702313957665e-02,0.026576
609,6.627535029213e-02,0.026608
610,6.553583653769e-02,0.026640
611,6.480450800293e-02,0.026672
612,6.408127534074e-02,0.026704
613,6.336605015737e-02,0.026737
614,6.265874500269e-02,0.026769
615,6.195927336039e-02,0.026801
616,6.126754963845e-02,0.026833
617,6.058348915956e-02,0.026865
618,5.990700815176e-02,0.026897
619,5.923802373901e-02,0.026929
620,5.857645393201e-02,0.026961
621,5.792221761903e-02,0.026993
622,5.727523455685e-02,0.027025
623,5.663542536174e-02,0.027057
624,5.600271150060e-02,0.027089
625,5.537701528219e-02,0.027121
626,5.475825984833e-02,0.027153
627,5.414636916531e-02,0.027185
628,5.354126801537e-02,0.027217
629,5.294288198819e-02,0.027249
630,5.235113747251e-02,0.027281
631,5.176596164787e-02,0.027313
632,5.118728247632e-02,0.027345
633,5.061502869438e-02,0.027377
634,5.004912980488e-02,0.027409
635,4.948951606906e-02,0.027441
636,4.893611849864e-02,0.027474
637,4.838886884797e-02,0.027506
638,4.784769960635e-02,0.027538
639,4.731254399031e-02,0.027570
640,4.678333593604e-02,0.027602
641,4.626001009186e-02,0.027634
642,4.574250181080e-02,0.027666
643,4.523074714321e-02,0.027698
644,4.472468282949e-02,0.027730
645,4.422424629280e-02,0.027762
646,4.372937563204e-02,0.027794
647,4.324000961462e-02,0.027844
648,4.275608766957e-02,0.027877
649,4.227754988051e-02,0.027909
650,4.180433697887e-02,0.027941
